"Id","OpportunityId","OpptyName","AccountName","ProductID","ProductName","Quantity","NetPrice","Country"
"a6P3a000000eh0PEAQ","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01ta0000005SeiOAAS","CARESCAPE R860 v1","2.0","1849797.92864","India"
"a6P3a000000eh0hEAA","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01ta0000007PEVvAAO","R860 Accessories","2.0","1.78572","India"
"a6P3a000000eh0jEAA","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01t0c000006oshVAAQ","LSTI South Asia – Respiratory","2.0","1.74614","India"
"a6P3a000000elF0EAI","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01t0c000008hAEPAA2","CardioSoft EKG Stress","1.0","267856.24998","India"
"a6P3a000000elFFEAY","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01t3a000004uidSAAQ","TRMILL","1.0","0.89286","India"
"a6P3a000000efapEAA","0063a00000hsUaBAAU","GMS/021/mar 26/R860-Coro 172-nxt. ReGON","Global Medical Systems","01t0c000006oE8hAAE","Corometrics 171","2.0","243750.0","India"
"a6P3a000002mU3rEAE","0063a00000hvRx1AAE","Bethel  Medical Centre SLE1000 LW Led PT Q2'20","Bethel  Medical Centre","01t0c000006oMutAAE","Lullaby Warmer","2.0","267857.14286","India"
"a6P3a000002mU3zEAE","0063a00000hvRx1AAE","Bethel  Medical Centre SLE1000 LW Led PT Q2'20","Bethel  Medical Centre","01t0c000008hAGLAA2","Lullaby LED PT","1.0","0.0","India"
"a6P3a000002mU44EAE","0063a00000hvRx1AAE","Bethel  Medical Centre SLE1000 LW Led PT Q2'20","Bethel  Medical Centre","01t3a000004tzp8AAA","SLE 1000","1.0","423244.53573","India"
"a6P3a000000ehUDEAY","0063a00000hvS7pAAE","SLE 2000/V100","Manas Medicare Systems","01t3a000004u3SoAAI","SLE 2000","1.0","575892.85714","India"
"a6P3a000000ehUOEAY","0063a00000hvS7pAAE","SLE 2000/V100","Manas Medicare Systems","01t3a000004uClHAAU","Carescape V100_Critical Care","1.0","89285.71428","India"
"a6P3a000000eekiEAA","0063a00000hvUr1AAE","Mrm Memorial Hospital Mac2000 Q2'20","Mrm Memorial Hospital","01ta0000004nCCtAAM","MAC 2000","1.0","147320.53571","India"
"a6P3a000000eekrEAA","0063a00000hvUr1AAE","Mrm Memorial Hospital Mac2000 Q2'20","Mrm Memorial Hospital","01t0c000006oshWAAQ","LSTI South Asia – Diagnostic Cardiology","1.0","0.84746","India"
"a6P3a000000fNnpEAE","0063a00000hvXVZAA2","Tanya Speciality Hospital SLE6000 Q2'20","Tanya Speciality Hospital","01t3a000004ugIdAAI","SLE 6000","1.0","1242535.33788","India"
"a6P3a000000etOwEAI","0063a00000hvXnTAAU","Dr. A P J Abdul Kalam CT Scan Centre Mac2000 Q1'20 Relogged","Dr. A P J Abdul Kalam C T Scan Centre","01ta0000004nCCtAAM","MAC 2000","1.0","122321.42858","India"
"a6P3a000000etP4EAI","0063a00000hvXnTAAU","Dr. A P J Abdul Kalam CT Scan Centre Mac2000 Q1'20 Relogged","Dr. A P J Abdul Kalam C T Scan Centre","01t0c000006oshWAAQ","LSTI South Asia – Diagnostic Cardiology","1.0","2542.37288","India"
"a6P3a000000fLYiEAM","0063a00000hvb9ZAAQ","Srilalitha Kidney Centre CS30 Q2'20","Srilalitha Kidney Centre","01ta0000007jsHWAAY","CARESTATION 30","1.0","357142.85715","India"
"a6P3a000000fLYzEAM","0063a00000hvb9ZAAQ","Srilalitha Kidney Centre CS30 Q2'20","Srilalitha Kidney Centre","01t0c000006oshUAAQ","LSTI South Asia – Anesthesia","1.0","71689.22896","India"
"a6P3a000002mZ65EAE","0063a00000hvfALAAY","Genworks Health Private Limited Monitor Q2'20 June","Genworks Health Private Limited","01t3a000004uDH4AAM","B105 VSP2_Critical Care","3.0","467558.30352","India"
"a6P3a000002mZ6VEAU","0063a00000hvfALAAY","Genworks Health Private Limited Monitor Q2'20 June","Genworks Health Private Limited","01t3a000004uClHAAU","Carescape V100_Critical Care","1.0","66964.28571","India"
"a6P3a000002mZ6eEAE","0063a00000hvfALAAY","Genworks Health Private Limited Monitor Q2'20 June","Genworks Health Private Limited","01t3a000004uDHPAA2","B125 VSP 2_Critical Care","3.0","494274.08928","India"
"a6P3a000002mZ74EAE","0063a00000hvfALAAY","Genworks Health Private Limited Monitor Q2'20 June","Genworks Health Private Limited","01t3a000004uNebAAE","Supplies & Accessories Critical Care","1.0","0.89285","India"
"a6P3a000002mZ7CEAU","0063a00000hvfALAAY","Genworks Health Private Limited Monitor Q2'20 June","Genworks Health Private Limited","01t3a000004uHs1AAE","Frame and Patient Modules Critical Care","1.0","0.89287","India"
"a6P3a000000fho3EAA","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01t3a000004uCCnAAM","Tec 820 ISO","9.0","763392.85722","India"
"a6P3a000000fhoAEAQ","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01t3a000004uCCmAAM","Tec 820 SEV","4.0","339285.71432","India"
"a6P3a000000fhoHEAQ","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01ta0000007jsHWAAY","CARESTATION 30","19.0","7141961.60723","India"
"a6P3a000000fhoYEAQ","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01ta0000005SwsRAAS","Carestation 620","1.0","1116071.4286","India"
"a6P3a000000fhp8EAA","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01ta0000007jsgDAAQ","Anesthesia Accessories","1.0","0.89286","India"
"a6P3a000000fhpAEAQ","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01t0c000008hAFJAA2","9100C NXT","7.0","4000000.00015","India"
"a6P3a000000fhpWEAQ","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01t0c000006oshUAAQ","LSTI South Asia – Anesthesia","7.0","0.85351","India"
"a6P3a000000fhpaEAA","0063a00000hveytAAA","Genworks Health Private Limited Anesthesia Q2'20 June","Genworks Health Private Limited","01t0c000006oshUAAQ","LSTI South Asia – Anesthesia","19.0","0.85367","India"
"a6P3a000000faT1EAI","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01t0c000008hAEPAA2","CardioSoft EKG Stress","5.0","1272319.6428","India"
"a6P3a000000faTGEAY","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01ta0000004nCCtAAM","MAC 2000","37.0","3633928.57127","India"
"a6P3a000000faTOEAY","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01ta0000007pxD3AAI","MAC 600","11.0","579464.28562","India"
"a6P3a000000faTUEAY","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01ta0000007pxD3AAI","MAC 600","6.0","251785.71432","India"
"a6P3a000000faTaEAI","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01t3a000004uidSAAQ","TRMILL","5.0","0.89285","India"
"a6P3a000000faTcEAI","0063a00000hvf3oAAA","Genworks Health Private Limited DICAR  June Q2'20","Genworks Health Private Limited","01t0c000008hEYBAA2","Mac Accessories, Trolleys and Training","1.0","0.89286","India"
"a6P3a000002mAuPEAU","0063a00000hvexbAAA","Medanta Medi-World Mac2000 Q2'20","Medanta Medi-World","01ta0000004nCCtAAM","MAC 2000","1.0","116071.42858","India"
"a6P3a000002mSnFEAU","0063a00000hvf69AAA","Genworks Health Private Limited MIC Q2'20 June","Genworks Health Private Limited","01t0c000006oMutAAE","Lullaby Warmer","1.0","102678.57144","India"
"a6P3a000002mSnNEAU","0063a00000hvf69AAA","Genworks Health Private Limited MIC Q2'20 June","Genworks Health Private Limited","01t0c000008hJgGAAU","Lullaby Warmer Prime","35.0","1562500.0006","India"
"a6P3a000002mSnWEAU","0063a00000hvf69AAA","Genworks Health Private Limited MIC Q2'20 June","Genworks Health Private Limited","01t3a000004ugIdAAI","SLE 6000","1.0","1215531.24749","India"
"a6P3a000002mSnsEAE","0063a00000hvf69AAA","Genworks Health Private Limited MIC Q2'20 June","Genworks Health Private Limited","01t0c000008hAGLAA2","Lullaby LED PT","15.0","455357.1429","India"
"a6P3a000002mSnxEAE","0063a00000hvf69AAA","Genworks Health Private Limited MIC Q2'20 June","Genworks Health Private Limited","01t3a000004u3SoAAI","SLE 2000","3.0","1617857.14293","India"
"a6P3a000002uT0TEAU","0063a00000hvfCXAAY","Genworks Health Private Limited Respiratory Q2'20 June","Genworks Health Private Limited","01t0c000008hAlIAAU","Siare Ventilator","15.0","8705357.14275","India"
"a6P3a000002uT0bEAE","0063a00000hvfCXAAY","Genworks Health Private Limited Respiratory Q2'20 June","Genworks Health Private Limited","01t0c000006oshVAAQ","LSTI South Asia – Respiratory","15.0","0.8502","India"
"a6P3a000002uT0eEAE","0063a00000hvfCXAAY","Genworks Health Private Limited Respiratory Q2'20 June","Genworks Health Private Limited","01t0c000008hAlIAAU","Siare Ventilator","4.0","2107142.85712","India"
"a6P3a000002uT0oEAE","0063a00000hvfCXAAY","Genworks Health Private Limited Respiratory Q2'20 June","Genworks Health Private Limited","01ta0000005SeiOAAS","CARESCAPE R860 v1","2.0","1714285.71426","India"
"a6P3a000002uT17EAE","0063a00000hvfCXAAY","Genworks Health Private Limited Respiratory Q2'20 June","Genworks Health Private Limited","01ta0000007PEVvAAO","R860 Accessories","4.0","0.89284","India"
